category	measure						
General administration	  737142894.00 						
Hospital and outpatient care	  1595329.61 						
Scientific development	  162073.14 						
Dissemination of culture	  503969.40 						
Basic education	  98589778.37 						
Special education	  915527.12 						  
Child education	  7381878.54 						
Elementary school	  2662693.30 						
Professionalizing education	  231979224.54 						
College education	  94603713.31 						
Human resource development	  5459796.44 						
Information technology	  956282.00 						
Funds transfer for basic education	  401039667.78 						
