category	measure						
General administration	  4000000.00 						
Hospital and outpatient care	  120303600.00 						
Scientific development	  163009.45 						
Basic education	  120516323.76 						
Special education	  997789.61 						
Child education	  11858637.90 						
Elementary school	  4518115.65 						
High school	  805382.82 						
Professionalizing education	  144962703.37 						
College education	  67437126.67 						
Human resource development	  148364.86 						
Information technology	  1196927.93 						
Funds transfer for basic education	  340321054.05 						
