Year	ID BRA	ID	Major	Enrolled	NumStudents
2010	5	345A01	Business and Management	137071	196308
2010	5	380D01	Law	116763	152190
2010	5	344C02	Accounting	45891	59107
2010	5	142P01	Pedagogy	34574	46216
2010	5	311P02	Psychology	24701	33944
2010	5	146F15	PE Degree	23551	33338
2010	5	7.23E+03	Nursing	23295	30241
2010	5	5.82E+05	Civil Engineering	16383	20277
2010	5	581A05	Architecture	16081	20562
2010	5	727F01	Pharmacy	15387	18704
2010	5	721M01	MEdicine	14701	15582
2010	5	483S02	Information Systems	13895	20174
2010	5	726F01	Physioterapy	13812	18026
2010	5	5.21E+07	Production Engineering	13457	18625
2010	5	621A04	Agronomy	13451	16131
