Year	ID BRA	ID	Major	Enrolled	NumStudents
2011	3	380D01	Law	93992	118635
2011	3	345A01	Business and Management	63446	84414
2011	3	142P01	Pedagogy	29235	36299
2011	3	344C02	Accounting	27013	35060
2011	3	7.23E+03	Nursing	25851	31407
2011	3	5.82E+05	Civil Engineering	14982	18536
2011	3	146F15	PE Degree	12389	16327
2011	3	311P02	Psychology	11815	14756
2011	3	727F01	Pharmacy	11813	14197
2011	3	481C01	Computer Science	10420	15015
2011	3	621A04	Agronomy	10078	12154
2011	3	145F01	Biology Degree	9782	12609
2011	3	726F01	Physioterapy	8957	11512
2011	3	581A05	Architecture	8353	10428
2011	3	345G09	Human Resources	7891	10937
