Year	ID BRA	ID	Major	Enrolled	NumStudents
2009	2	380D01	Law	135733	152096
2009	2	345A01	Business and Management	95315	112352
2009	2	7.23E+03	Nursing	63155	68436
2009	2	142P01	Pedagogy	58342	63864
2009	2	344C02	Accounting	44207	49866
2009	2	726F01	Physiotherapy	26270	29735
2009	2	721M01	Medicine	17161	18140
2009	2	145F11	History Degree	16127	17929
2009	2	762S01	Social Services	16014	17492
2009	2	145F18	Math Degree	15669	17727
2009	2	145F01	Biology Degree	14343	16108
2009	2	145F15	Portuguese And Literature	13737	15068
2009	2	311P02	Psichology	13723	15641
2009	2	5.82E+05	Civil Engineering	13049	14591
2009	2	726N02	Nutrition	12834	14107
