Year	ID BRA	ID	Major	Enrolled	NumStudents
2009	1	380D01	Law	38306	43092
2009	1	345A01	Business and Management	31331	36952
2009	1	142P01	Pedagogy	20734	23357
2009	1	344C02	Accounting	15477	17550
2009	1	7.23E+03	Nursing	13929	15454
2009	1	721M01	Medicine	8462	8819
2009	1	762S01	Social Service	8130	9380
2009	1	726F01	Physiotherapy	6634	7707
2009	1	145F01	Biology Degree	5754	6526
2009	1	146F15	PE Degree	5479	6494
2009	1	724O01	Dentistry	5379	5944
2009	1	145F18	Math Degree	5285	6258
2009	1	311P02	Psychology	5029	5558
2009	1	727F01	Pharmacy	4939	5546
2009	1	5.82E+05	Civil Engineering	4801	5506
