Year	ID BRA	ID	Major	Enrolled	NumStudents
2010	4	345A01	Business and Management	353145	467390
2010	4	380D01	Law	298502	377178
2010	4	142P01	Pedagogy	139684	171485
2010	4	7.23E+03	Nursing	108731	139881
2010	4	344C02	Accounting	87813	110946
2010	4	311P02	Psychology	68990	88327
2010	4	146F15	PE Degree	60917	88176
2010	4	5.20E+07	Production Engineering	60045	79744
2010	4	727F01	Pharmacy	56984	72273
2010	4	721M01	Medicine	53420	56047
2010	4	5.82E+05	Civil Engineering	52464	66947
2010	4	345G09	Human Resources	47681	63593
2010	4	483S02	Information Systems	46978	64236
2010	4	342P02	Advertising	44167	58342
2010	4	726F01	Physioterapy	42833	56932
