Year	ID BRA	ID	Major	Enrolled	NumStudents
2010	1	380D01	Law	42949	54128
2010	1	345A01	Business and Management	34231	44871
2010	1	7.23E+03	Nursing	17114	20663
2010	1	344C02	Accounting	16773	21697
2010	1	145F15	Portuguese and Literature	11397	12851
2010	1	145F18	Math Degree	10419	11755
2010	1	721M01	Medicine	9464	10016
2010	1	762S01	Social Service	9339	11997
2010	1	146F15	PE Degree	8607	11347
2010	1	311P02	Psychology	7418	9787
2010	1	145F01	Biology Degree	7350	9164
2010	1	726F01	Physioterapy	6771	9018
2010	1	724O01	Dentristry	6015	7314
2010	1	727F01	Pharmacy	5890	7233
2010	1	5.82E+05	Civil Engineering	5889	7786
