Year	ID BRA	ID	Major	Enrolled	NumStudents
2013	3	380D01	Law	99299	125847
2013	3	345A01	Business and Management	53872	77062
2013	3	142P01	Pedagogy	29939	37077
2013	3	344C02	Accounting	29152	38288
2013	3	5.82E+05	Civil Engineering	27806	36346
2013	3	7.23E+03	Nursing	24874	32834
2013	3	311P02	Psychology	15944	20676
2013	3	727F01	Pharmacy	12914	16580
2013	3	621A04	Agronomy	12840	15783
2013	3	581A05	Architeture	12664	16702
2013	3	146F15	PE Degree	12474	16777
2013	3	345G09	Human Resources	11559	15031
2013	3	726F01	Physioterapy	9881	13783
2013	3	481C01	Computer Science	9728	15517
2013	3	145F01	Biology Degree	7872	10746
