Year	ID BRA	ID	Major	Enrolled	NumStudents
2012	1	380D01	Law	47127	60985
2012	1	142P01	Pedagogy	33257	41897
2012	1	345A01	Business and Management	31473	47425
2012	1	7.23E+03	Nursing	18934	25351
2012	1	344C02	Accounting	17702	24712
2012	1	145F15	Portuguese	11407	14487
2012	1	146F15	PE Degree	10066	13667
2012	1	5.82E+05	Civil Engineering	9998	13098
2012	1	721M01	Medicine	9982	10584
2012	1	762S01	Social Service	9820	13975
2012	1	145F18	Math Degree	9707	13000
2012	1	311P02	Psychology	8638	11926
2012	1	145F01	Biology Degree	8063	10735
2012	1	724O01	Dentistry	7536	9612
2012	1	481C01	Computer Science	6766	10520
