Year	ID BRA	ID	Major	Enrolled	NumStudents
2010	2	380D01	Law	147455	179972
2010	2	345A01	Business and Management	117650	148751
2010	2	7.23E+03	Nursing	71787	83534
2010	2	142P01	Pedagogy	67939	79906
2010	2	344C02	Accounting	48925	60061
2010	2	726F01	Physioterapy	27851	34167
2010	2	311P02	Psychology	25281	31408
2010	2	145F15	Portuguese and Literature	23368	28580
2010	2	145F01	Biology Degree	19925	25045
2010	2	145F11	History Degree	19800	24291
2010	2	721M01	Medicine	19784	20999
2010	2	762S01	Social Service	19325	22610
2010	2	146F15	PE Degree	17757	21880
2010	2	145F18	Math Degree	16789	21355
2010	2	726N02	Nutrition	15366	18252
