Year	ID BRA	ID	Major	Enrolled	NumStudents
2013	2	380D01	Law	171424	212073
2013	2	345A01	Business and Management	116774	158046
2013	2	7.23E+03	Nursing	79703	96227
2013	2	142P01	Pedagogy	74455	88945
2013	2	344C02	Accounting	57051	74742
2013	2	5.82E+05	Civil Engineering	40112	46515
2013	2	311P02	Psychology	39464	48093
2013	2	726F01	Physioterapy	34406	44361
2013	2	762S01	Social Service	29382	36921
2013	2	726N02	Nutrition	25521	31180
2013	2	721M01	Medicine	23303	24260
2013	2	145F15	Portuguese	22573	27723
2013	2	146F15	PE Degree	22085	27750
2013	2	481C01	Computer Science	21680	30212
2013	2	145F01	Biology Degree	21079	26373
