Year	ID BRA	ID	Major	Enrolled	NumStudents
2009	4	345A01	Business and Management	309918	365544
2009	4	380D01	Law	281804	323660
2009	4	142P01	Pedagogy	118849	137475
2009	4	7.23E+03	Nursing	108703	124399
2009	4	344C02	Accounting	80571	92741
2009	4	721M01	Medicine	51178	53387
2009	4	342P02	Advertising	50310	59392
2009	4	311P02	Psychology	46326	52833
2009	4	483S02	Information Systems	45776	54487
2009	4	727F01	Pharmacy	44761	50237
2009	4	726F01	Physioterapy	44025	51024
2009	4	5.20E+07	Production Engineering	43391	50091
2009	4	146F15	PE Degree	43307	52128
2009	4	345G09	Human Resources	39856	47451
2009	4	7.20E+03	Phisical Education	39209	45516
